case,passed,samples,details
sensor_distance_jump,1,10,OK
sensor_distance_stuck,0,14,distance.reliability=0 minimum=1 | distance.reliability=0 minimum=1 | distance.reliability=0 minimum=1 | distance.reliability=0 minimum=1 | distance.reliability=0 minimum=1
sensor_distance_noise,1,13,OK
sensor_distance_consistency,1,12,OK
sensor_approach_speed_stuck,0,14,approach_speed.reliability=0 minimum=1 | approach_speed.reliability=0 minimum=1 | approach_speed.reliability=0 minimum=1 | approach_speed.reliability=0 minimum=1 | approach_speed.reliability=0 minimum=1
sensor_accel_x_jump,1,10,OK
sensor_accel_y_jump,1,10,OK
sensor_accel_y_stuck,1,14,OK
sensor_accel_y_noise,1,13,OK
sensor_accel_y_consistency,1,12,OK
sensor_accel_z_jump,1,10,OK
sensor_accel_z_stuck,1,14,OK
sensor_accel_z_noise,1,13,OK
sensor_accel_z_consistency,1,12,OK
sensor_gyro_x_stuck,0,14,gyro_x.reliability=0 minimum=1 | gyro_x.reliability=0 minimum=1 | gyro_x.reliability=0 minimum=1 | gyro_x.reliability=0 minimum=1 | gyro_x.reliability=0 minimum=1
sensor_gyro_y_stuck,1,14,OK
sensor_gyro_z_stuck,0,14,gyro_z.reliability=0 minimum=1 | gyro_z.reliability=0 minimum=1 | gyro_z.reliability=0 minimum=1 | gyro_z.reliability=0 minimum=1 | gyro_z.reliability=0 minimum=1
sensor_humidity_stuck,1,14,OK
sensor_humidity_noise,1,13,OK
sensor_timeout_global,0,4,"distance.reliability=0 expected=2, approach_speed.reliability=0 expected=2, accel_x.reliability=1 expected=2, accel_y.reliability=0 expected=2, accel_z.reliability=0 expected=2, gyro_x.reliability=0 expected=2, gyro_y.reliability=0 expected=2, gyro_z.reliability=0 expected=2, temperature.reliability=1 expected=2, humidity.reliability=1 expected=2, lux.reliability=1 expected=2"
