Time,Speed,RPM,Gear,Steering,Weather,Temperature,Humidity,Lux,RoadSpeedLimit,FrontDistance,DistanceOverRange,ClosingSpeed,TTC,TTCRisk,TTCThrottle,TTCBrake,TTCGearDown,TTCHazard,RoadRisk,RoadSurfaceGrade,RoadShockGrade,RoadThrottle,RoadBrake,RoadSpeedLimitCmd,RoadGearDown,VisionRisk,VisionLuxGrade,VisionWeatherGrade,VisionThrottle,VisionSpeedLimitCmd,VisionHeadlight,VisionHazard,PostureRisk,PostureRollGrade,PostureYawGrade,PostureLateralGrade,PostureThrottle,PostureBrake,PostureSteerRateLimit,PostureGearDown,FinalRisk,FinalThrottle,FinalBrake,FinalSteering,FinalSteerRateLimit,FinalSpeedLimit,FinalGearDown,Headlight,Hazard,ManualMode,AutonomousControl,EmergencyStop
0.05,1.76,800,1,12,0,22.0,30.0,58516.5,100,999.0,True,0.0,20.0,0,10,0,False,False,0,DRY,NORMAL,10,0,100,False,0,BRIGHT,CLEAR,10,100,False,False,0,SAFE,SAFE,SAFE,10,0,100,False,0,10,0,12,100,100,False,False,False,False,True,False
0.1,3.53,1146,1,12,0,22.0,30.0,58516.5,46.7,999.0,True,0.0,20.0,0,10,0,False,False,0,DRY,NORMAL,10,0,46.70484428470968,False,0,BRIGHT,CLEAR,10,46.70484428470968,False,False,0,SAFE,SAFE,SAFE,10,0,100,False,0,10,0,12,100,46.70484428470968,False,False,False,False,True,False
0.15,5.29,1719,1,12,0,22.0,30.0,58516.5,46.6,999.0,True,0.0,20.0,0,10,0,False,False,0,DRY,NORMAL,10,0,46.62131558470852,False,0,BRIGHT,CLEAR,10,46.62131558470852,False,False,0,SAFE,SAFE,SAFE,10,0,100,False,0,10,0,12,100,46.62131558470852,False,False,False,False,True,False
0.2,7.06,2292,1,12,0,22.0,30.0,58516.5,46.6,999.0,True,0.0,20.0,0,10,0,False,False,0,DRY,NORMAL,10,0,46.59577577676778,False,0,BRIGHT,CLEAR,10,46.59577577676778,False,False,0,SAFE,SAFE,SAFE,10,0,100,False,0,10,0,12,100,46.59577577676778,False,False,False,False,True,False
0.25,4.12,1339,1,12,0,22.0,30.0,58516.5,46.6,999.0,True,0.0,20.0,0,10,0,False,False,0,DRY,NORMAL,10,0,46.61787002679155,False,0,BRIGHT,CLEAR,10,46.61787002679155,False,False,0,SAFE,SAFE,SAFE,10,0,100,False,0,10,0,12,100,46.61787002679155,False,False,False,False,True,False
0.3,1.97,800,1,12,0,22.0,30.0,58516.5,46.6,999.0,True,0.0,20.0,0,10,0,False,False,0,DRY,NORMAL,10,0,46.622192400995,False,0,BRIGHT,CLEAR,10,46.622192400995,False,False,0,SAFE,SAFE,SAFE,10,0,100,False,0,10,0,12,100,46.622192400995,False,False,False,False,True,False
0.35,1.33,800,1,12,0,22.0,30.0,58516.5,46.7,999.0,True,0.0,20.0,0,10,0,False,False,0,DRY,NORMAL,10,0,46.66231787743274,False,0,BRIGHT,CLEAR,10,46.66231787743274,False,False,0,SAFE,SAFE,SAFE,10,0,100,False,0,10,0,12,100,46.66231787743274,False,False,False,False,True,False
0.4,1.94,800,1,12,0,22.0,30.0,58516.5,46.5,999.0,True,0.0,20.0,0,10,0,False,False,0,DRY,NORMAL,10,0,46.52323321406801,False,0,BRIGHT,CLEAR,10,46.52323321406801,False,False,0,SAFE,SAFE,SAFE,10,0,100,False,0,10,0,12,100,46.52323321406801,False,False,False,False,True,False
0.45,2.65,860,1,12,0,22.0,30.0,58516.5,46.7,999.0,True,0.0,20.0,0,10,0,False,False,0,DRY,NORMAL,10,0,46.72429914557984,False,0,BRIGHT,CLEAR,10,46.72429914557984,False,False,0,SAFE,SAFE,SAFE,10,0,100,False,0,10,0,12,100,46.72429914557984,False,False,False,False,True,False
0.5,3.26,1059,1,12,0,22.0,30.0,58516.5,47.0,999.0,True,0.0,20.0,0,10,0,False,False,0,DRY,NORMAL,10,0,46.99434725623571,False,0,BRIGHT,CLEAR,10,46.99434725623571,False,False,0,SAFE,SAFE,SAFE,10,0,100,False,0,10,0,12,100,46.99434725623571,False,False,False,False,True,False
0.55,3.93,1275,1,12,0,22.0,30.0,58516.5,47.2,999.0,True,0.0,20.0,0,10,0,False,False,0,DRY,NORMAL,10,0,47.2214060683286,False,0,BRIGHT,CLEAR,10,47.2214060683286,False,False,0,SAFE,SAFE,SAFE,10,0,100,False,0,10,0,12,100,47.2214060683286,False,False,False,False,True,False
