Time,Speed,RPM,Gear,Steering,Weather,Temperature,Humidity,Lux,RoadSpeedLimit,FrontDistance,DistanceOverRange,ClosingSpeed,TTC,TTCRisk,TTCThrottle,TTCBrake,TTCGearDown,TTCHazard,RoadRisk,RoadSurfaceGrade,RoadShockGrade,RoadThrottle,RoadBrake,RoadSpeedLimitCmd,RoadGearDown,VisionRisk,VisionLuxGrade,VisionWeatherGrade,VisionThrottle,VisionSpeedLimitCmd,VisionHeadlight,VisionHazard,PostureRisk,PostureRollGrade,PostureYawGrade,PostureLateralGrade,PostureThrottle,PostureBrake,PostureSteerRateLimit,PostureGearDown,FinalRisk,FinalThrottle,FinalBrake,FinalSteering,FinalSteerRateLimit,FinalSpeedLimit,FinalGearDown,Headlight,Hazard,ManualMode,AutonomousControl,EmergencyStop
0.05,1.76,800,1,12,0,22.0,30.0,14746.2,100,999.0,True,0.0,20.0,0,10,0,False,False,0,DRY,NORMAL,10,0,100,False,0,DIM,CLEAR,10,100,True,False,0,SAFE,SAFE,SAFE,10,0,100,False,0,10,0,12,100,100,False,True,False,False,True,False
0.1,3.53,1146,1,12,0,22.0,30.0,14746.2,76.5,999.0,True,0.0,20.0,0,10,0,False,False,0,DRY,NORMAL,10,0,76.49291104942924,False,0,DIM,CLEAR,10,76.49291104942924,True,False,0,SAFE,SAFE,SAFE,10,0,100,False,0,10,0,12,100,76.49291104942924,False,True,False,False,True,False
0.15,5.29,1719,1,12,0,22.0,30.0,14746.2,79.3,999.0,True,0.0,20.0,0,10,0,False,False,0,DRY,NORMAL,10,0,79.31976006978645,False,0,DIM,CLEAR,10,79.31976006978645,True,False,0,SAFE,SAFE,SAFE,10,0,100,False,0,10,0,12,100,79.31976006978645,False,True,False,False,True,False
0.2,7.06,2292,1,12,0,22.0,30.0,14746.2,82.2,999.0,True,0.0,20.0,0,10,0,False,False,0,DRY,NORMAL,10,0,82.16302768128766,False,0,DIM,CLEAR,10,82.16302768128766,True,False,0,SAFE,SAFE,SAFE,10,0,100,False,0,10,0,12,100,82.16302768128766,False,True,False,False,True,False
0.25,4.12,1339,1,12,0,22.0,30.0,14746.2,85.0,999.0,True,0.0,20.0,0,10,0,False,False,0,DRY,NORMAL,10,0,85.02292486351244,False,0,DIM,CLEAR,10,85.02292486351244,True,False,0,SAFE,SAFE,SAFE,10,0,100,False,0,10,0,12,100,85.02292486351244,False,True,False,False,True,False
0.3,1.92,800,1,12,0,22.0,30.0,14746.2,80.3,999.0,True,0.0,20.0,0,10,0,False,False,0,DRY,NORMAL,10,0,80.31447180292835,False,0,DIM,CLEAR,10,80.31447180292835,True,False,0,SAFE,SAFE,SAFE,10,0,100,False,0,10,0,12,100,80.31447180292835,False,True,False,False,True,False
0.35,1.46,800,1,12,0,22.0,30.0,14746.2,76.1,999.0,True,0.0,20.0,0,10,0,False,False,0,DRY,NORMAL,10,0,76.08778500699651,False,0,DIM,CLEAR,10,76.08778500699651,True,False,0,SAFE,SAFE,SAFE,10,0,100,False,0,10,0,12,100,76.08778500699651,False,True,False,False,True,False
0.4,1.97,800,1,12,0,22.0,30.0,14746.2,75.6,999.0,True,0.0,20.0,0,10,0,False,False,0,DRY,NORMAL,10,0,75.63354513360783,False,0,DIM,CLEAR,10,75.63354513360783,True,False,0,SAFE,SAFE,SAFE,10,0,100,False,0,10,0,12,100,75.63354513360783,False,True,False,False,True,False
