cycle,sim_ns,rst_n,s0_sample_seq_axi,s0_seq_pre,s1_valid_s1,s1_distance,s1_approach_speed,s1_gyro_z,s1_accel_z,s1_temperature,s1_humidity,s1_lux,s1_delta_distance,s1_delta_gyro_z,s1_delta_accel_z,s1_delta_temp,s1_pred_gyro_z_1,s1_pred_distance,s1_gyro_z_x_S_GYR,s2_range_err,s2_jump_err,s2_stuck_err,s2_noise_err,s2_timeout_err,s2_timeout_phase_cnt,s2b_cons_gyro_z,s2b_cons_accel_x,s2b_cons_distance,s3_rel_distance,s3_rel_gyro_z,s3_rel_accel_z,s3_rel_temp,s3_rel_hum,s4_collision,s4_road_A,s4_road_B,s4_vision_A,s4_posture_C,s4e_collision,s4e_road_A,s4e_road_B,s4e_vision_A,s4e_posture_C,s5_eff_road_A,s5_eff_posture_C,s5_col_brake,s5_road_B_brake,s5_surface_cap,s5_lateral_cap,s5_brake_cap,s5_requested_brake,s5_final_brake,s5_final_accel,s5_td,s5_mrm,s5_hud,s5_td_remain,s5_valid_out
0,5000,0,x,x,x,X,X,x,x,x,X,X,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0,x,x,15,15,15,x,x,x,x,x,0,x,x
1,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
2,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
3,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
4,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
5,55000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
6,65000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
7,75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
8,85000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
9,95000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
10,105000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
11,115000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
12,125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
13,135000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
14,145000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
15,155000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
16,165000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
17,175000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
18,185000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
19,195000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
20,205000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
21,215000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
22,225000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
23,235000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
24,245000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
25,255000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
26,265000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
27,275000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
28,285000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
29,295000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
30,305000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
31,315000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
32,325000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
33,335000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
34,345000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
35,355000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
36,365000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
37,375000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
38,385000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
39,395000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
40,405000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
41,415000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
42,425000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
43,435000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
44,445000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
45,455000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
46,465000,1,0,0,0,0,0,0,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
47,475000,1,0,0,0,0,0,0,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
48,485000,1,0,0,0,0,0,0,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
49,495000,1,0,0,0,0,0,0,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
50,505000,1,0,0,0,0,0,1,978,0,0,0,0,0,0,0,0,0,1024,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
51,515000,1,0,0,0,0,0,1,978,0,0,0,0,0,0,0,0,0,1024,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
52,525000,1,0,0,0,0,0,1,978,0,0,0,0,0,0,0,0,0,1024,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
53,535000,1,0,0,0,0,0,1,978,0,0,0,0,0,0,0,0,0,1024,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
54,545000,1,0,0,0,0,0,1,978,0,0,0,0,0,0,0,0,0,1024,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
55,555000,1,0,0,0,0,0,1,978,0,0,0,0,0,0,0,0,0,1024,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
56,565000,1,0,0,0,0,0,1,978,0,0,0,0,0,0,0,0,0,1024,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
57,575000,1,0,0,0,0,0,1,978,0,0,0,0,0,0,0,0,0,1024,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
58,585000,1,0,0,0,0,0,1,978,0,0,0,0,0,0,0,0,0,1024,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
59,595000,1,0,0,0,0,0,1,978,0,0,0,0,0,0,0,0,0,1024,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
60,605000,1,0,0,0,0,0,1,978,0,0,0,0,0,0,0,0,0,1024,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
61,615000,1,0,0,0,0,0,1,978,0,0,0,0,0,0,0,0,0,1024,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
62,625000,1,0,0,0,20000,0,1,978,0,39,0,0,0,0,0,0,0,1024,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
63,635000,1,0,0,0,20000,0,1,978,0,39,0,0,0,0,0,0,0,1024,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
64,645000,1,0,0,0,20000,0,1,978,0,39,0,0,0,0,0,0,0,1024,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
65,655000,1,0,0,0,20000,0,1,978,0,39,0,0,0,0,0,0,0,1024,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
66,665000,1,0,0,0,20000,0,1,978,0,39,30016,0,0,0,0,0,0,1024,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
67,675000,1,0,0,0,20000,0,1,978,0,39,30016,0,0,0,0,0,0,1024,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
68,685000,1,0,0,0,20000,0,1,978,0,39,30016,0,0,0,0,0,0,1024,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
69,695000,1,0,0,0,20000,0,1,978,0,39,30016,0,0,0,0,0,0,1024,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
70,705000,1,0,0,0,20000,0,1,978,219,39,30016,0,0,0,0,0,0,1024,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
71,715000,1,0,0,0,20000,0,1,978,219,39,30016,0,0,0,0,0,0,1024,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
72,725000,1,0,0,0,20000,0,1,978,219,39,30016,0,0,0,0,0,0,1024,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
73,735000,1,0,0,0,20000,0,1,978,219,39,30016,0,0,0,0,0,0,1024,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
74,745000,1,0,0,0,20000,0,1,978,219,39,30016,0,0,0,0,0,0,1024,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
75,755000,1,0,0,0,20000,0,1,978,219,39,30016,0,0,0,0,0,0,1024,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
76,765000,1,0,0,0,20000,0,1,978,219,39,30016,0,0,0,0,0,0,1024,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
77,775000,1,0,0,0,20000,0,1,978,219,39,30016,0,0,0,0,0,0,1024,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
78,785000,1,1,1,0,20000,0,1,978,219,39,30016,0,0,0,0,0,0,1024,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
79,795000,1,1,1,1,20000,0,1,978,219,39,30016,20000,1,978,219,0,0,1024,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,15,5,5,0,0,0,0,11,0
80,805000,1,1,1,0,20000,0,1,978,219,39,30016,20000,1,978,219,0,0,1024,0,0,0,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,15,15,0,0,8,0,0,0,11,0
81,815000,1,1,1,0,20000,0,1,978,219,39,30016,20000,1,978,219,0,0,1024,0,0,0,769,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,15,15,0,0,8,0,0,0,11,3
82,825000,1,1,1,0,20000,0,1,978,219,39,30016,20000,1,978,219,0,0,1024,0,0,0,769,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,15,15,0,0,8,0,0,0,11,0
83,835000,1,1,1,0,20000,0,1,978,219,39,30016,20000,1,978,219,0,0,1024,0,0,0,769,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,15,15,0,0,8,0,0,0,11,0
84,845000,1,1,1,0,20000,0,1,978,219,39,30016,20000,1,978,219,0,0,1024,0,0,0,769,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,15,15,0,0,8,0,0,0,11,0
85,855000,1,1,1,0,20000,0,1,978,219,39,30016,20000,1,978,219,0,0,1024,0,0,0,769,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,15,15,0,0,8,0,0,0,11,0
86,865000,1,1,1,0,20000,0,1,978,219,39,30016,20000,1,978,219,0,0,1024,0,0,0,769,0,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,15,15,0,0,8,0,0,0,11,0
87,875000,1,1,1,0,20000,0,1,978,219,39,30016,20000,1,978,219,0,0,1024,0,0,0,769,0,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,15,15,0,0,8,0,0,0,11,0
88,885000,1,1,1,0,20000,0,1,978,219,39,30016,20000,1,978,219,0,0,1024,0,0,0,769,0,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,15,15,0,0,8,0,0,0,11,0
89,895000,1,1,1,0,20000,0,1,978,219,39,30016,20000,1,978,219,0,0,1024,0,0,0,769,0,9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,15,15,0,0,8,0,0,0,11,0
90,905000,1,1,1,0,20000,0,1,978,219,39,30016,20000,1,978,219,0,0,1024,0,0,0,769,0,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,15,15,0,0,8,0,0,0,11,0
91,915000,1,1,1,0,20000,0,1,978,219,39,30016,20000,1,978,219,0,0,1024,0,0,0,769,0,11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,15,15,0,0,8,0,0,0,11,0
92,925000,1,1,1,0,20000,0,1,978,219,39,30016,20000,1,978,219,0,0,1024,0,0,0,769,0,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,15,15,0,0,8,0,0,0,11,0
93,935000,1,1,1,0,20000,0,1,978,219,39,30016,20000,1,978,219,0,0,1024,0,0,0,769,0,13,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,15,15,0,0,8,0,0,0,11,0
94,945000,1,1,1,0,20000,0,1,978,219,39,30016,20000,1,978,219,0,0,1024,0,0,0,769,0,14,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,15,15,0,0,8,0,0,0,11,0
95,955000,1,1,1,0,20000,0,1,978,219,39,30016,20000,1,978,219,0,0,1024,0,0,0,769,0,15,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,15,15,0,0,8,0,0,0,11,0
96,965000,1,1,1,0,20000,0,1,978,219,39,30016,20000,1,978,219,0,0,1024,0,0,0,769,0,16,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,15,15,0,0,8,0,0,0,11,0
97,975000,1,1,1,0,20000,0,1,978,219,39,30016,20000,1,978,219,0,0,1024,0,0,0,769,0,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,15,15,0,0,8,0,0,0,11,0
98,985000,1,1,1,0,20000,0,1,978,219,39,30016,20000,1,978,219,0,0,1024,0,0,0,769,0,18,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,15,15,0,0,8,0,0,0,11,0
99,995000,1,1,1,0,20000,0,1,978,219,39,30016,20000,1,978,219,0,0,1024,0,0,0,769,0,19,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,15,15,0,0,8,0,0,0,11,0
100,1005000,1,1,1,0,20000,0,1,978,219,39,30016,20000,1,978,219,0,0,1024,0,0,0,769,0,20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,15,15,0,0,8,0,0,0,11,0
101,1015000,1,1,1,0,20000,0,1,978,219,39,30016,20000,1,978,219,0,0,1024,0,0,0,769,0,21,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,15,15,0,0,8,0,0,0,11,0
102,1025000,1,1,1,0,20000,0,1,978,219,39,30016,20000,1,978,219,0,0,1024,0,0,0,769,0,22,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,15,15,0,0,8,0,0,0,11,0
103,1035000,1,1,1,0,20000,0,1,978,219,39,30016,20000,1,978,219,0,0,1024,0,0,0,769,0,23,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,15,15,0,0,8,0,0,0,11,0
104,1045000,1,1,1,0,20000,0,1,978,219,39,30016,20000,1,978,219,0,0,1024,0,0,0,769,0,24,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,15,15,0,0,8,0,0,0,11,0
105,1055000,1,1,1,0,20000,0,1,978,219,39,30016,20000,1,978,219,0,0,1024,0,0,0,769,0,25,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,15,15,0,0,8,0,0,0,11,0
106,1065000,1,1,1,0,20000,0,1,978,219,39,30016,20000,1,978,219,0,0,1024,0,0,0,769,0,26,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,15,15,0,0,8,0,0,0,11,0
107,1075000,1,1,1,0,20000,0,1,978,219,39,30016,20000,1,978,219,0,0,1024,0,0,0,769,0,27,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,15,15,0,0,8,0,0,0,11,0
108,1085000,1,1,1,0,20000,0,1,978,219,39,30016,20000,1,978,219,0,0,1024,0,0,0,769,0,28,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,15,15,0,0,8,0,0,0,11,0
109,1095000,1,1,1,0,20000,0,1,978,219,39,30016,20000,1,978,219,0,0,1024,0,0,0,769,0,29,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,15,15,0,0,8,0,0,0,11,0
110,1105000,1,1,1,0,20000,0,1,978,219,39,30016,20000,1,978,219,0,0,1024,0,0,0,769,0,30,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,15,15,0,0,8,0,0,0,11,0
