sample_seq,fault_label,reliability_word,active_detectors,invalid_channels,active_control_flags,changed_commands,input_accelerator,output_accelerator,input_brake,output_brake,input_steering_raw,output_steering_raw,input_speed_limit,output_speed_limit,td_remain_sec,invariant_violations
34,none,00154015,jump:distance;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
35,none,00154015,jump:distance;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
36,none,00154015,jump:distance;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
37,none,00154015,jump:distance;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
38,none,00154015,jump:distance;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
39,none,00154015,jump:distance;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
40,none,00154055,jump:distance;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;noise:accel_y;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
41,none,00154015,jump:distance;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
42,none,00154015,jump:distance;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
43,none,00154015,jump:distance;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
44,none,00154015,jump:distance;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
45,none,00154015,jump:distance;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
46,none,00154015,jump:distance;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;noise:accel_x;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
47,none,00154015,jump:distance;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;noise:accel_x;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
48,none,00154015,jump:distance;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;noise:accel_x;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
