sample_seq,host_gap_ns,reg0,reg1,reg2,reg3,reg4,reg5,reg6,reg7,reg8,reg9
1,0,00090000,000703DB,0003000C,00000000,0000DD0B,3E004E20,2BFCE4FF,4004E0DD,003C0001,00000001
2,53239000,F9F2F9F2,000CF9F2,FFFE0009,00000000,0000DD0B,3C004E20,2BF8E4B3,4002A8DF,00780001,00000002
3,90680500,00070009,000DFFFF,FFF80001,00000000,0000DD0B,38004E20,2BF4E45D,4002A8DF,00B40001,00000003
4,52116600,00020009,000BFFFB,FFF4FFF9,00000000,0000DD0B,36004E20,2BF0E408,4002A8DD,00F00001,00000004
5,46395600,FFFD005E,0005060E,FFF3FFF3,00000000,0000DD0B,3A004E20,2BF8E3C4,5002A8DC,00480281,00000005
6,42876300,FFF80022,FFFF060E,FFF4FFF3,00000000,0000DD0B,3E004E20,2BFCE398,4002A8DA,00380541,00000006
7,111238900,FFF80143,FFF9060E,0004FFF8,00010000,0000DD0B,40004E20,2BFCE38F,4002A8DB,00C807E1,00000007
8,15269600,FFFD01A0,FFF705D2,000C0000,00010000,0000DD0B,40004E20,2800E3AA,4002A8DC,00180CA1,00000008
9,52029300,00020189,FFF804D3,00030006,00010000,0001DD0A,3A004E20,2800E3E4,4002A8DD,003C00E1,00000009
10,49243700,FFF80185,FFFD0435,00140007,00020000,0001DD0B,36004E20,2800E436,4002A8DD,00440721,0000000A
11,46115300,0011018D,000203DB,000A0004,00020000,0001DD0A,36004E20,2800E492,4002A8DC,00400B61,0000000B
12,51035400,000101B6,000703AF,000CFFFC,00020000,0002DD0A,3A004E20,2800E4E9,4002A8DA,003401A1,0000000C
13,50757900,00010198,000A039E,0004FFF7,00020000,0002DD0A,42004E20,2800E52E,4002A8DA,00280621,0000000D
14,50920000,FFFF017F,0008039C,0001FFF5,00020000,0002DD09,46004E20,2800E555,4002A8DA,001C0AE1,0000000E
15,51215700,FFF4019B,000403A0,0004FFF8,00020000,0003DD09,44004E20,2800E55A,4002A8DC,001000A1,0000000F
16,50492400,FFF80197,FFFD03A8,FFFCFFFF,00020000,0003DD0A,3E004E20,2800E53D,5002A8DE,000C04A1,00000010
17,51110000,FFF801B1,FFF703B1,FFF80007,00020000,0003DD0A,36004E20,2800E505,5002A8DD,00040AE1,00000011
18,48764200,FFFD017E,FFF303BA,FFF8000D,00020000,0003DD0A,34004E20,2800E4BD,5002A8DD,00040EE1,00000012
19,51366000,00030199,FFF303C4,FFFA000C,00020000,0004DD0A,38004E20,2800E470,5002A8DB,000004A1,00000013
20,50272100,0007015C,FFF603CD,FFFF0007,00020000,0004DD0A,40004E20,2800E42C,5002A8DB,000008A0,00000014
21,50619600,00080169,FFFD03D5,0004FFFF,00020000,0004DD0A,46004E20,2800E3FE,5002A8DC,00000D60,00000015
22,56294000,00080175,000303DB,0009FFF9,00020000,0005DD0A,42004E20,2800E3ED,5002A8DD,00000220,00000016
23,49191800,00020189,000803DF,000CFFF7,00020000,0005DD0A,3C004E20,2800E3FC,5002A8DF,00000720,00000017
24,49280700,FFFE018D,000A03E0,000DFFFB,00020000,0005DD0A,34004E20,2800E42C,6002A8DF,00000BE0,00000018
25,52774900,FFFA0196,000803DE,000B0001,00020000,0006DD0A,30004E20,2800E473,6002A8DD,00000120,00000019
26,47181600,FFFB0192,000303D9,00060008,00020000,0006DD0A,36004E20,2800E4C9,6002A8DB,000005E0,0000001A
27,51265300,FFFC0198,FFFD03D5,0001000A,00020000,0006DD0A,3E004E20,2800E51D,6002A8D9,00000B20,0000001B
28,51014900,00020197,FFF903D0,FFFB0007,00020000,0007DD0A,44004E20,2800E563,6002A8D9,00000020,0000001C
29,51613900,000601A1,FFF703CE,FFF60000,00020000,0007DD0A,46004E20,2800E58E,6002A8DC,000005A0,0000001D
30,136734800,000A01AD,FFF903CD,FFF4FFF8,00020000,0007DD0A,3E004E20,28012768,6002A8DD,00000B20,0000001E
31,15885600,000701C1,FFFE03D5,FFF5FFF3,00030000,0008DD0A,38004E20,28012743,6002A8DE,000000E0,0000001F
32,50126700,000401A4,000503D2,FFF8FFF4,00030000,0008DD0A,34004E20,280126F6,7002A8DD,00000520,00000020
33,50394900,FFFF0079,000A03D5,FFFCFFFA,00020000,0008DD0A,36004E20,2801268C,7002A8DA,000005E0,00000021
34,50596500,FFF60127,000D03D8,00010001,00020000,0008DD0A,3E004E20,28012616,7002A8D9,00000B20,00000022
35,50410700,FFF70237,000C03D9,00060006,00020000,0009DD0A,44004E20,280125A6,B002A8D8,000002E0,00000023
36,50733900,FFF802BF,000803DA,00080008,00030000,0009DD0A,44004E20,2801254B,9002A8DA,00000BE0,00000024
37,50092300,FFFA023B,000103D8,00080006,00030000,000ADD0A,40004E20,28012515,9002A8DE,000001A0,00000025
38,48060400,00010230,FFFB03D4,0006FFFF,00030000,000ADD0A,38004E20,28012509,9002A8E0,00000960,00000026
39,53793000,000501E0,FFF603D0,0001FFF9,00030000,000ADD0A,36004E20,28012528,9002A8E0,00000EA0,00000027
40,46374300,000701EB,FFF503CC,FFF9FFF7,00030000,000BDD0A,36004E20,2801256D,9002A8DE,000005A0,00000028
41,115114900,000501BC,FFF803CB,FFF5FFFA,00030000,000BDD0A,3A004E20,280125CB,9002A8DA,00000A60,00000029
42,14250900,FFFF01D9,FFFD03CC,FFF90000,00030000,000CDD0A,40004E20,28012632,9002A8D9,00000120,0000002A
43,49282300,FFFB01AF,000303CF,FFF60008,00030000,000CDD0A,3E004E20,2801268E,9002A8DA,00000560,0000002B
44,51261500,FFFA0176,000703D4,FFF6000E,00030000,000CDD0A,3C004E20,280126D1,9002A8DC,00000A20,0000002C
45,48893000,FFF500B8,000803D9,FFFC000E,00020000,000CDD0A,38004E20,280126EE,9002A8E0,00000AE0,0000002D
46,50391700,FFFB0053,000603DC,00020009,00020000,000CDD0A,36004E20,280126DE,9002A8E0,00000BE0,0000002E
47,49966000,0001FFE3,000003DE,00070001,00010000,000CDD0A,3A004E20,280126A5,9002A8DF,00000AA0,0000002F
48,49242100,0006FFCB,FFFA03DD,000BFFFA,00010000,000CDD0A,3E004E20,2801264C,9002A8DB,00000A60,00000030
49,53329800,000CFF8B,FFF503DA,000DFFF7,00000000,000CDD0A,40004E20,280125E2,9002A8D7,00000820,00000031
50,48749500,000AFF93,FFF303D6,000CFFFA,00000000,000CDD0A,40004E20,2801257A,9002A8D7,000007A0,00000032
51,49696300,0003FF67,FFF503D2,00080000,00000000,000CDD0A,3C004E20,28012525,9002A8D9,00000520,00000033
52,50860800,002DFF7F,FFFC03CF,00210006,00000000,000CDD0F,3A004E20,280124F0,9002A8DC,00004460,00000034
53,49963300,000FFF62,000103CE,00120009,FFFF0000,000CDD16,3C004E20,280124E6,9002A8E0,000021A0,00000035
54,49487500,FFF5FF85,000703D0,00070007,FFFF0000,000CDD1A,3E004E20,28012507,9002A8E0,000010E0,00000036
55,50226500,FFF9FF69,000B03D3,00000000,FFFF0000,000BDD1D,42004E20,28012551,9002A8DD,00001E20,00000037
56,50708300,FFFFFF8B,000B03D7,FFFEFFF8,FFFF0000,000BDD1F,42004E20,280125BA,9002A8DA,00000D60,00000038
57,50944800,0006FF6F,000803DC,FFFFFFF4,FFFF0000,000BDD20,3C004E20,28012630,9002A8D7,00000AA0,00000039
58,53314700,0007FFA1,000203DE,0002FFF3,FFFF0000,000BDD21,38004E20,280126A4,9002A8D8,03000A60,0000003A
59,49277500,002DFFB2,FFFD03DF,001EFFF9,FFFF0000,000BDD26,34004E20,28012703,9002A8DC,050038E0,0000003B
60,51275400,005E0012,FFFB03DC,004C0000,FFFFFFFF,000BDD35,38004E20,28013991,90FAA8E0,06009A60,0000003C
61,48669000,00090049,FFF703D9,00280008,0000FFFF,000BDD41,3E004E20,280139A1,9002A8E2,02003B20,0000003D
62,50252400,FFE700B5,FFC003E9,002FFFF6,00030009,000BDD4B,42004E20,2801397F,9002A8E0,060C4E60,0000003E
63,53170700,006500D0,FFF8040E,0058FFDD,000E0010,000CDD5D,42004E20,28013935,900AA8DD,0214B020,0000003F
