sample_seq,host_gap_ns,reg0,reg1,reg2,reg3,reg4,reg5,reg6,reg7,reg8,reg9
1,0,00000000,000003D5,00000000,00000000,00002312,3C004E20,2BFCE494,4007F816,00000001,00000001
2,94853300,F80007FF,0000F800,00000000,00000000,00002312,3C004E20,2BF8E494,4007F816,00000001,00000002
3,152273700,00000000,00000001,00000000,00000000,00002312,3C004E20,2BF4E494,4007F816,00000001,00000003
4,113708700,00000000,00000001,00000000,00000000,00002312,3C004E20,2BF0E494,4007F816,00000001,00000004
5,93255600,00000047,000005F4,00000001,00000000,00FF2312,3C004E20,2BF8E494,5007F816,00000001,00000005
6,95669500,0000002E,000007FF,0000FFFF,00000000,00002312,3C004E20,2BFCE494,4007F816,00000001,00000006
7,100423900,00060125,0000077A,FFFEFFFE,00000000,00002310,3C004E20,2BFCE494,4007F816,00000021,00000007
8,119440800,00030196,000005EC,FFFBFFFE,00010000,0000230D,3C004E20,2800E494,4007F816,00000021,00000008
9,100463700,FFFD0192,000004DF,FFEEFFFF,00010000,0001230C,3C004E20,2800E494,4007F816,00000021,00000009
10,88538400,FFF901BF,00000437,0001FFFF,00020000,0001230C,3C004E20,2800E494,4007F816,00000021,0000000A
11,110093500,FFFC01A4,000003D7,0008FFFF,00020000,0001230D,3C004E20,2800E494,4007F816,00000021,0000000B
12,114155600,0004017C,000003A8,00040000,00020000,0002230D,3C004E20,2800E494,4007F816,00000021,0000000C
13,128046900,FFFF018E,00000397,0003FFFF,00020000,0002230E,3C004E20,2800E494,4007F816,00000021,0000000D
14,111694000,0002018D,00000397,FFF30000,00020000,0002230E,3C004E20,2800E494,4007F816,00000021,0000000E
15,123645600,00050184,000003A0,00020000,00020000,0002230D,3C004E20,2800E494,4007F816,00000021,0000000F
16,124303200,0003017E,000003AB,FFF00000,00020000,0003230A,3C004E20,2800E494,5007F816,00000021,00000010
17,122818500,FFFA0193,000003B7,00030000,00020000,00032309,3C004E20,2800E494,5007F816,00000021,00000011
18,132929200,00010186,000003C1,FFF20000,00020000,00032307,3C004E20,2800E494,5007F816,00000021,00000012
19,119551700,FFFB0195,000003C8,00040000,00020000,00042306,3C004E20,2800E494,5007F816,00000021,00000013
20,118525900,00010189,000003CE,FFF50000,00020000,00042305,3C004E20,2800E494,5007F816,00000021,00000014
21,125372600,FFFC0192,000003D1,00050000,00020000,00042304,3C004E20,2800E494,5007F816,00000021,00000015
22,102761900,00020188,000003D4,FFF80000,00020000,00052303,3C004E20,2800E494,5007F816,00000021,00000016
23,113801300,FFFC018C,000003D5,00070000,00020000,00052304,3C004E20,2800E494,5007F816,00000021,00000017
24,103338700,00020182,000003D6,FFFA0000,00020000,00052303,3C004E20,2800E494,6007F816,00000021,00000018
25,102902900,FFFE07FF,000003EA,FFFF0006,00010000,00132303,3C004E20,2800E494,6007F816,00000020,00000019
26,103720100,FFFFFE08,000007D0,00020002,00000000,00132304,3C004E20,1400E494,B004E016,00000020,0000001A
27,130023600,000100AC,000007DA,00000000,00000000,00142304,3C004E20,1400E494,A004E016,00000020,0000001B
28,117431200,0001000C,000007E4,00010000,00000000,00132304,3C004E20,1400E494,A004E016,00000020,0000001C
29,114451400,0001FF57,000007DA,00000001,00000000,00132304,3C004E20,1400E494,A004E016,00000020,0000001D
30,118753400,0000FED9,000007D0,00000001,FFFF0000,00132304,3C004E20,14013AA6,A004E016,00000020,0000001E
31,116843600,0000FEA0,000007C6,00000001,FFFF0000,00132304,3C004E20,14013AA6,A004E016,00000020,0000001F
32,134098500,0000FE97,000007BC,00000001,FFFF0000,00132304,3C004E20,14013AA6,A004E016,00000020,00000020
33,129050100,0000FEE3,000007C6,00000000,FFFE0000,00122304,3C004E20,14013AA6,A004E016,00000020,00000021
34,115733600,0000FECE,000007D0,00000000,FFFE0000,00122304,3C004E20,14013AA6,A004E016,00000020,00000022
35,123168700,0000FED7,000007DA,00000000,FFFE0000,00122304,3C004E20,14013AA6,A004E016,00000020,00000023
36,123894800,0000FEC6,000007E4,00000000,FFFE0000,00122304,3C004E20,14013AA6,A004E016,00000020,00000024
37,118452200,0000FED7,000007DA,00000000,FFFE0000,00112304,3C004E20,14013AA6,A004E016,00000020,00000025
38,147021200,0000FEC6,000007D0,00000000,FFFE0000,00112304,3C004E20,14013AA6,A004E016,00000020,00000026
39,140339900,0000FEDA,000007C6,00000000,FFFE0000,00112304,3C004E20,14013AA6,A004E016,00000020,00000027
40,139717600,0000FEC9,000007BC,00000000,FFFE0000,00112304,3C004E20,14013AA6,A004E016,00000020,00000028
41,120781200,0000FEDF,000007C6,00000000,FFFE0000,00102304,3C004E20,14013AA6,A004E016,00000020,00000029
42,134043400,0000FECC,000007D0,00000000,FFFE0000,00102304,3C004E20,14013AA6,A004E016,00000020,0000002A
43,126349500,0000FEE4,000007DA,00000000,FFFE0000,00102304,3C004E20,14013AA6,A004E016,00000020,0000002B
44,126752300,0000FED0,000007E4,00000000,FFFE0000,00102304,3C004E20,14013AA6,A004E016,00000020,0000002C
45,108988100,0000FEE8,000007DA,00000000,FFFE0000,00102304,3C004E20,14013AA6,A004E016,00000020,0000002D
46,106601200,0000FED5,000007D0,00000000,FFFE0000,000F2304,3C004E20,14013AA6,A004E016,00000020,0000002E
47,284265400,0000FEED,000007C6,00000000,FFFE0000,000F2304,3C004E20,14013AA6,A004E016,00000020,0000002F
48,63445300,0000FED9,000007BC,00000000,FFFE0000,000F2304,3C004E20,14013AA6,A004E016,00000020,00000030
49,107355200,0000FEF2,000007C6,00000000,FFFE0000,000F2304,3C004E20,14013AA6,A004E016,00000020,00000031
