schema_version,sample_seq,carla_frame,simulation_time_s,imu_frame,imu_timestamp_s,imu_frame_lag,radar_frame,radar_timestamp_s,radar_frame_lag,host_send_ns,host_gap_ns,host_gap_ms,nominal_period_ns,host_response_ns,roundtrip_ns,fault_label,distance_m,approach_speed_mps,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_rps,gyro_y_rps,gyro_z_rps,incline_x_deg,incline_y_deg,incline_z_deg,speed_x_mps,speed_y_mps,speed_z_mps,speed_kmh,temperature_c,humidity_pct,lux,weather,requested_speed_limit_kmh,rpm_level,accelerator_cmd,brake_cmd,steering_normalized,manual_mode,gear,headlight,hazard,situation,reg0_hex,reg1_hex,reg2_hex,reg3_hex,reg4_hex,reg5_hex,reg6_hex,reg7_hex,reg8_hex,reg9_hex,fpga_response_valid,fpga_sample_seq,fpga_risk_word_hex,fpga_reliability_word_hex,fpga_accelerator,fpga_brake,fpga_steering_raw,fpga_speed_limit_kmh,fpga_headlight,fpga_hazard,fpga_transition_demand,fpga_hud_warning,fpga_mrm,fpga_td_remain_sec
2,1,133,0.050000000,133,10.579694427549839,0,133,10.579694427549839,0,13226293785400,0,0.000000,50000000,13226294880900,1095500,none,7.03301477432251,-2155.005615234375,-1.4581711826447218e-35,2.0471678947754652e-35,9.8100004196167,0.0,0.0,0.0,0.0,0.0,-179.6738739013672,-0.0,0.0,-0.4899999797344208,1.7639999270439148,22.0,30.0,58516.5,0,50.0,0,10,0,0.0,0,1,0,0,1,00000000,000003D5,00000000,00000000,0000B9D1,3D0002BF,2BFCE494,4004E016,00000008,00000001,1,1,00005952,002AAAAA,0,3,0,29.93,1,1,1,1,1,0
2,2,134,0.100000000,134,10.629694428294897,0,134,10.629694428294897,0,13226330769100,36983700,36.983700,50000000,13226331078800,309700,none,5.30159330368042,0.1996683031320572,49618.9765625,-69661.4765625,-239.98997497558594,0.0,0.0,0.0,0.0,0.0,-179.6738739013672,-0.0,0.0,-0.9800000786781311,3.5280002832412722,22.0,30.0,58516.5,0,50.0,0,10,0,0.0,0,1,0,0,0,F80007FF,0000F800,00000000,00000000,0000B9D1,3C010212,2BF8E494,4004E016,00000000,00000002,1,2,00005952,002AAAAA,0,3,0,29.93,1,1,1,1,1,0
2,3,135,0.150000000,135,10.679694429039955,0,135,10.679694429039955,0,13226452379200,121610100,121.610100,50000000,13226452954900,575700,none,5.50272274017334,0.29785457253456116,0.0,0.0,0.009961128234863281,0.0,0.0,0.0,0.0,0.0,-179.6738739013672,-0.0,0.0,-1.470000147819519,5.2920005321502686,22.0,30.0,58516.5,0,50.0,0,10,0,0.0,0,1,0,0,0,00000000,00000001,00000000,00000000,0000B9D1,3C018226,2BF4E494,4004E016,00000000,00000003,1,3,00005952,002AAAAA,0,3,0,29.93,1,1,1,1,1,0
2,4,136,0.200000000,136,10.729694429785013,0,136,10.729694429785013,0,13226513735600,61356400,61.356400,50000000,13226514161400,425800,none,4.809229850769043,0.4395327568054199,0.0,0.0,0.010049819946289062,0.0,0.0,0.0,0.0,0.0,-179.6738739013672,-0.0,0.0,-1.9600002765655518,7.056000995635986,22.0,30.0,58516.5,0,50.0,0,10,0,0.0,0,1,0,0,0,00000000,00000001,00000000,00000000,0000B9D1,3C0281E1,2BF0E494,4004E016,00000000,00000004,1,4,00005952,002AAAAA,0,3,0,29.93,1,1,1,1,1,0
2,5,137,0.250000000,137,10.779694430530071,0,137,10.779694430530071,0,13226580108800,66373200,66.373200,50000000,13226580481300,372500,none,4.610266208648682,0.5307626724243164,0.0,0.0,0.010020256042480469,0.0,0.0,0.0,0.0,0.0,-179.6738739013672,-0.0,0.0,-2.450000286102295,8.820001029968262,22.0,30.0,58516.5,0,50.0,1,10,0,0.0,0,1,0,0,0,00000000,00000001,00000000,00000000,0000B9D1,3C0301CD,2BF0E494,5004E016,00000000,00000005,1,5,00005952,002AAAAA,0,3,0,29.93,1,1,1,1,1,0
2,6,138,0.300000000,138,10.82969443127513,0,138,10.82969443127513,0,13226644900100,64791300,64.791300,50000000,13226645377100,477000,none,4.437917232513428,0.40251424908638,2.195441722869873,-0.7108801007270813,13.003276824951172,-0.1858454793691635,-0.1254778355360031,0.01853637956082821,0.5628613233566284,0.3257521986961365,-179.6463165283203,0.08109446395496148,0.0777630177446468,-1.582479403360498,5.711266462988973,22.0,30.0,58516.5,0,50.0,1,10,0,0.0,0,1,0,0,0,FFB900DC,FF460514,0013FF83,00210038,0000B9D3,3C0281BC,2BF4E494,5004E016,00000000,00000006,1,6,00005952,002AAAAA,0,3,0,29.93,1,1,1,1,1,0
2,7,139,0.350000000,139,10.879694432020187,0,139,10.879694432020187,0,13226821811600,176911500,176.911500,50000000,13226822270700,459100,none,3.9608654975891113,0.38671499490737915,3.2937405109405518,0.05074244737625122,30.566774368286133,-0.04317852854728699,-0.05457441508769989,-0.001606166479177773,0.8155047297477722,0.5538122057914734,-179.6326446533203,0.24228892581968675,0.023426149092876145,-0.6972553229167264,2.65868639032648,22.0,30.0,58516.5,0,50.0,0,10,0,0.0,0,1,0,0,0,00050149,FFD507FF,FFFEFFC9,00370052,0000B9D5,3C02018C,2BF8E494,4004E016,00000000,00000007,1,7,00005952,002AAAAA,0,3,0,29.93,1,1,1,1,1,0
2,8,140,0.400000000,140,10.929694432765245,0,140,10.929694432765245,0,13226847294500,25482900,25.482900,50000000,13226847852500,558000,none,4.144287109375,0.3955948054790497,2.0048813819885254,-0.41389256715774536,24.554248809814453,0.07179959118366241,-0.009834770113229752,0.007861366495490074,0.9645941853523254,0.5710447430610657,-179.6590118408203,0.40405024788507765,0.017210583260002146,-0.06765999487192825,1.476134665328319,22.0,30.0,58516.5,0,50.0,0,10,0,0.0,0,1,0,0,4,FFD700C8,004807FF,0008FFF6,00390060,0000B9D2,3C02819E,2BFCE494,4004E016,00000020,00000008,1,8,00005952,002AAAAA,0,3,0,29.93,1,1,1,1,1,0
2,9,141,0.450000000,141,10.979694433510303,0,141,10.979694433510303,0,13226890275700,42981200,42.981200,50000000,13226890663200,387500,none,3.9662880897521973,0.5507523417472839,4.812061786651611,-0.07420946657657623,18.117389678955078,0.030539264902472496,0.0034144390374422073,0.024631990119814873,0.9220069646835327,0.539154589176178,-179.65841674804688,0.6464724479464771,-0.005121056934795511,0.15625530871016638,2.394388595626105,22.0,30.0,58516.5,0,50.0,0,10,0,0.0,0,1,0,0,4,FFF901E1,001F0714,00190003,0036005C,FF01B9D2,3C03018D,2800E494,4004E016,00000020,00000009,1,9,00005952,002AAAAA,0,3,0,29.93,1,1,1,1,1,0
2,10,142,0.500000000,142,11.029694434255362,0,142,11.029694434255362,0,13226939071200,48795500,48.795500,50000000,13226940143700,1072500,none,4.645666599273682,0.7152684330940247,4.037313461303711,-0.1940646767616272,12.184296607971191,0.022964056581258774,0.004424950107932091,-0.01597118191421032,0.8449877500534058,0.5273520350456238,-179.6444091796875,0.8228515839143611,-0.0030721613047790808,0.23783029830898947,3.083537001229642,22.0,30.0,58516.5,0,50.0,0,10,0,0.0,0,1,0,0,4,FFED0194,001704C2,FFF00004,00350054,0001B9D4,3C0481D1,2800E494,4004E016,00000020,0000000A,1,10,00005952,002AAAAA,0,3,0,29.93,1,1,1,1,1,0
