schema_version,sample_seq,carla_frame,simulation_time_s,imu_frame,imu_timestamp_s,imu_frame_lag,radar_frame,radar_timestamp_s,radar_frame_lag,host_send_ns,host_gap_ns,host_gap_ms,nominal_period_ns,host_response_ns,roundtrip_ns,fault_label,distance_m,approach_speed_mps,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_rps,gyro_y_rps,gyro_z_rps,incline_x_deg,incline_y_deg,incline_z_deg,speed_x_mps,speed_y_mps,speed_z_mps,speed_kmh,temperature_c,humidity_pct,lux,weather,requested_speed_limit_kmh,rpm_level,accelerator_cmd,brake_cmd,steering_normalized,manual_mode,gear,headlight,hazard,situation,reg0_hex,reg1_hex,reg2_hex,reg3_hex,reg4_hex,reg5_hex,reg6_hex,reg7_hex,reg8_hex,reg9_hex,fpga_response_valid,fpga_sample_seq,fpga_risk_word_hex,fpga_reliability_word_hex,fpga_accelerator,fpga_brake,fpga_steering_raw,fpga_speed_limit_kmh,fpga_headlight,fpga_hazard,fpga_transition_demand,fpga_hud_warning,fpga_mrm,fpga_td_remain_sec
2,1,676050,0.050000000,676050,11786.820707347244,0,676050,11786.820707347244,0,91439104584700,0,0.000000,50000000,91439105023600,438900,none,200.0,0.0,-3.056503421441323e-35,4.5468770077997697e-35,9.8100004196167,0.0,0.0,0.0,0.0,0.0,-179.57008361816406,-0.0,0.0,-0.4899999797344208,1.7639999270439148,21.8,28.0,58514.5,0,100.0,0,10,0,0.06093716205882056,1,1,0,0,0,00000000,000003D5,00000000,00000000,0000B9DB,38004E20,2BFCE492,4007F8DA,063C0001,00000001,1,1,00005952,002AAAAA,10,0,6,81.6,1,1,0,1,0,11
2,2,676051,0.100000000,676051,11786.870707347989,0,676051,11786.870707347989,0,91439160087000,55502300,55.502300,50000000,91439160414500,327500,none,200.0,0.0,104007.4140625,-154722.203125,-112.76698303222656,0.0,0.0,0.0,0.0,0.0,-179.57008361816406,-0.0,0.0,-0.9800000786781311,3.5280002832412722,21.9,29.0,58515.5,0,48.53840916066964,0,10,0,0.058745855141264895,1,1,0,0,0,F80007FF,0000F800,00000000,00000000,0000B9DB,3A004E20,2BF8E494,4004B8DB,06780001,00000002,1,2,00000000,00000000,10,0,6,48.32,0,0,0,0,0,11
2,3,676052,0.150000000,676052,11786.920707348734,0,676052,11786.920707348734,0,91439250262400,90175400,90.175400,50000000,91439250664400,402000,none,200.0,0.0,0.0,0.0,0.010020256042480469,0.0,0.0,0.0,0.0,0.0,-179.57008361816406,-0.0,0.0,-1.470000147819519,5.2920005321502686,22.0,30.0,58516.5,0,49.40477633515756,0,10,0,0.0567061713795271,1,1,0,0,0,00000000,00000001,00000000,00000000,0000B9DB,3C004E20,2BF4E494,4004D0DC,06B40001,00000003,1,3,00000020,00000100,10,0,6,49.28,0,0,0,0,0,11
2,4,676053,0.200000000,676053,11786.97070734948,0,676053,11786.97070734948,0,91439309575700,59313300,59.313300,50000000,91439309984000,408300,none,200.0,0.0,0.0,0.0,0.009993553161621094,0.0,0.0,0.0,0.0,0.0,-179.57008361816406,-0.0,0.0,-1.9600002765655518,7.056000995635986,22.1,31.0,58517.5,0,50.25637022590438,0,10,0,0.05480294443241707,1,1,0,0,0,00000000,00000001,00000000,00000000,0000B9DB,3E004E20,2BF0E496,4004E8DD,05F00001,00000004,1,4,00000020,00000100,10,0,5,50.24,0,0,0,0,0,11
2,5,676054,0.250000000,676054,11787.020707350224,0,676054,11787.020707350224,0,91439369918700,60343000,60.343000,50000000,91439370399400,480700,none,200.0,0.0,0.7103496789932251,0.024663642048835754,15.2413911819458,-0.00016894456348381937,0.0008385404362343252,-0.0012398893013596535,-6.103515261202119e-05,0.000539584900252521,-179.568115234375,-0.04225634732809879,-0.001346736778094821,-1.1441706002445753,4.121825144789316,22.2,32.0,58518.5,0,51.0939158500623,1,10,0,0.05298336766780466,1,1,0,0,0,00020047,000005F4,FFFF0001,00000000,00FFB9DB,40004E20,2BF8E496,5004F8DE,05380F01,00000005,1,5,00000020,00000100,10,0,5,50.88,0,0,0,0,0,11
2,6,676055,0.300000000,676055,11787.07070735097,0,676055,11787.07070735097,0,91439429273200,59354500,59.354500,50000000,91439429753300,480100,none,200.0,0.0,0.7610594034194946,0.0444626547396183,24.657411575317383,6.28540656180121e-05,-0.000757677189540118,0.020442591980099678,-0.000274658203125,0.0016460755141451955,-179.57373046875,0.12478836505488801,0.004276090709152259,-0.5247448980427241,1.9418242097489362,22.1,31.0,58517.5,0,49.71146398835431,0,10,0,0.05613187994921577,1,1,0,0,0,0004004C,000007FF,0014FFFF,00000000,0000B9DB,3E004E20,2BFCE496,4004D8DD,06300301,00000006,1,6,00000020,00000100,10,0,6,49.6,0,0,0,0,0,11
2,7,676056,0.350000000,676056,11787.120707351714,0,676056,11787.120707351714,0,91439548317300,119044100,119.044100,50000000,91439549128600,811300,none,200.0,0.0,2.891754150390625,0.007277213037014008,19.143413543701172,0.00036499701673164964,-0.0015928918728604913,0.0337807722389698,-0.0007324219332076609,0.004808452911674976,-179.54466247558594,0.3145907816847416,0.014305761026530089,-0.1489916312644068,1.2541778069254126,22.0,30.0,58516.5,0,48.591520314430575,0,10,0,0.057956836650259684,1,1,0,0,4,00010121,0000077A,0022FFFE,00000000,0000B9DE,3C004E20,2BFCE494,4004B8DC,06C417E1,00000007,1,7,00000020,00000100,10,0,6,48.32,0,0,0,0,0,11
2,8,676057,0.400000000,676057,11787.17070735246,0,676057,11787.17070735246,0,91439564282300,15965000,15.965000,50000000,91439564760200,477900,none,200.0,0.0,3.7040350437164307,0.18954798579216003,15.160950660705566,0.000180406219442375,-0.0015389268519356847,0.021173033863306046,-0.0013122555101290345,0.008817773312330246,-179.52316284179688,0.4927146272657294,0.02011588336081346,0.05548328780408462,1.7864516824645937,21.9,29.0,58515.5,0,48.524635619210464,0,10,0,0.0582649922670648,1,1,0,0,4,00130172,000005EC,0015FFFE,00010000,0000B9E0,3A004E20,2800E494,4004B8DB,06182C61,00000008,1,8,000000A0,00100100,10,0,6,48.32,1,0,0,0,0,11
2,9,676058,0.450000000,676058,11787.220707353204,0,676058,11787.220707353204,0,91439616277100,51994800,51.994800,50000000,91439616805300,528200,none,200.0,0.0,4.523995876312256,0.09897361695766449,12.469650268554688,0.00028109594131819904,-0.0017055257922038436,0.015404877252876759,-0.0019531244179233909,0.013346188701689243,-179.474609375,0.7300944582461648,0.030945932747673748,0.14780120434683514,2.6839701261738917,21.8,28.0,58514.5,0,49.00608543354612,0,10,0,0.05649712802321466,1,1,0,0,4,000A01C4,000004DF,000FFFFE,00010000,0001B9E5,38004E20,2800E492,4004C8DA,063C3261,00000009,1,9,00000020,00000100,10,0,6,48.96,0,0,0,0,0,11
2,10,676059,0.500000000,676059,11787.27070735395,0,676059,11787.27070735395,0,91439664934500,48657400,48.657400,50000000,91439665384600,450100,none,200.0,0.0,3.7944416999816895,0.11231929063796997,10.789593696594238,4.526920383796096e-05,-0.0008969263872131705,0.023671941831707954,-0.0021667478140443563,0.016604188829660416,-179.42428588867188,0.8897770911466898,0.034596709514392476,0.172465728435947,3.2651914001266213,21.9,29.0,58515.5,0,49.9496888502047,0,10,0,0.054328602615637524,1,1,0,0,4,000B017B,00000437,0018FFFF,00020000,0001B9EA,3A004E20,2800E494,4004E0DB,05443661,0000000A,1,10,00000020,00000100,10,0,5,49.92,0,0,0,0,0,11
