sample_seq,host_gap_ns,reg0,reg1,reg2,reg3,reg4,reg5,reg6,reg7,reg8,reg9
1,0,0000FFEC,000003D5,00000000,FF8C0000,0000B9B8,3CFF9428,2BFCE494,4007F816,00000008,00000001
2,30670600,07FFF800,0000F800,00000000,FF8C0000,0000B9B8,3C000B0F,2BF8E494,4007F816,00000000,00000002
3,132922300,00000000,00000001,00000000,FF8C0000,0000B9B8,3C008C55,2BF4E494,4007F816,00000000,00000003
4,62681700,00000000,00000001,00000000,FF8C0000,0000B9B8,3C008A18,2BF0E494,4007F816,00000000,00000004
5,65649700,00000000,00000001,00000000,FF8C0000,0000B9B8,3C0109F6,2BF0E494,5007F816,00000000,00000005
6,65304200,00000000,00000001,00000000,FF8C0000,0000B9B8,3C010900,2BECE494,5007F816,00000000,00000006
7,185584500,00000039,00000155,0000FFE5,FF900000,0000B9B8,3C01868B,2BECE494,5007F816,00000000,00000007
8,16497900,FFFF0178,000007FF,FFF7FFF3,FF950000,0000B9B8,3C020667,2BF4E494,5007F816,00000020,00000008
9,49391100,000601C0,000E07FF,0002FFFA,FF960000,0000B9B6,3C0305D5,2800E494,4007F816,00000020,00000009
10,51390700,FFFF022D,000307FF,FFFFFFFD,FF97FFFE,0001B9B5,3C0487BA,2800E494,4007F816,00000020,0000000A
11,50841400,000101B7,00000473,FFF0FFFF,FF98FFFE,0001B9B3,3C0606B1,2800E494,4007F816,00000020,0000000B
12,49692700,000001E2,000003D1,FFF90000,FF98FFFE,0002B9B1,3C0786AF,2800E494,4007F816,00000020,0000000C
13,74240900,FFFB019E,00000383,00020001,FF98FFFE,00024650,3C090668,2800E494,4007F816,00000020,0000000D
14,218045500,FFFF01BF,00000368,00000000,FF98FFFE,00024650,3C0A88D4,2800E494,4007F816,00000020,0000000E
15,24582800,00010195,0001036A,00000001,FF97FFFE,00034650,3C0C076D,2800E494,5007F816,00000020,0000000F
16,53947700,000101AD,00010379,00000001,FF97FFFE,00034650,3C0D86B4,2800E494,5007F816,00000020,00000010
17,45553400,00000181,0001038E,00000001,FF97FFFD,00034650,3C0E8851,2800E494,5007F816,00000020,00000011
18,52034400,0000019E,000003A1,00000001,FF96FFFD,00044650,3C10086E,2800E494,5007F816,00000020,00000012
19,75677800,0000016F,000003B2,00000002,FF96FFFD,00044650,3C1106FD,2800E494,5007F816,00000020,00000013
20,71847500,0001016A,000003BF,00000002,FF95FFFD,00044650,3C1286CD,2800E494,5007F816,00000020,00000014
21,208004100,0000016D,000003C8,00000002,FF95FFFD,00054650,3C138755,2800E494,5007F816,00000020,00000015
22,20046100,00000180,000003CF,00000002,FF94FFFD,00054650,3C15070E,2BFCE494,5007F816,00000020,00000016
23,53258200,0000017F,000003D3,00000002,FF94FFFE,0005464F,3C160733,2BFCE494,6007F816,00000020,00000017
24,46749900,00000189,000003D5,00000002,FF93FFFE,0006464F,3C1787C1,2BFCE494,6007F816,00000020,00000018
25,54910900,00000188,000003D6,00000002,FF92FFFE,0006464F,3C188924,2800E494,6007F816,00000020,00000019
26,78859700,00000190,000003D6,00000002,FF92FFFE,0006464F,3C1A07CF,2800E494,6007F816,00000020,0000001A
27,75413800,00010196,000103D5,00000002,FF91FFFD,0007464F,3C1B0666,2800E494,6007F816,00000020,0000001B
28,193658400,000001A1,000203D5,00000001,FF91FFFD,0007464F,3C1C89F3,2800E494,6007F816,00000020,0000001C
29,19537100,000001AF,000203D5,00000001,FF90FFFC,0007464F,3C1E074A,2800E494,6007F816,00000020,0000001D
30,54933500,000101C0,000203DA,00000001,FF90FFFC,0008464F,3C1F8804,28012D0B,6007F816,00000020,0000001E
31,51576100,00010197,000203D5,00000002,FF90FFFB,0008464F,3C2087B1,28012D0B,7007F816,00000020,0000001F
32,43832500,00000071,000103D3,00000002,FF8FFFFB,0008464F,3C210ACF,28012D0B,7007F816,00000020,00000020
33,48872200,00000120,000003D1,00000000,FF8FFFFA,0008464F,3C221201,28012D0B,7007F816,00000020,00000021
34,56224300,0001022E,000003D1,FFFFFFFF,FF8FFFFA,0009464F,3C24093A,28012D0B,B007F816,00000020,00000022
35,143812700,000102B6,000003D3,FFFFFFFE,FF8FFFFA,0009464F,3C260726,28012D0B,9007F816,00000020,00000023
36,17901900,00010236,000003D5,FFFDFFFF,FF90FFFA,000A464F,3C280A66,28012D0B,9007F816,00000020,00000024
37,50377600,FFFF0234,000003D5,000CFFFF,FF90FFFB,000A464F,3C2A084B,28012D0B,9007F816,00000020,00000025
38,49466000,000201F0,000003D5,00050000,FF90FFFB,000B464F,3C2B88D4,28012D0B,9007F816,00000020,00000026
39,50580700,000401F7,000003D5,FFF40000,FF90FFFB,000B464F,3C2D074B,28012D0B,9007F816,00000020,00000027
40,49336900,FFFF01BF,000003D5,FFFC0000,FF90FFFB,000B464E,3C2E87D3,28012D0B,9007F816,00000020,00000028
41,49552300,FFFF01DA,000003D5,00070000,FF90FFFB,000C464F,3C30099C,28012D0B,9007F816,00000020,00000029
42,51642200,000201B0,000003D5,00020000,FF90FFFB,000C464F,3C3187BA,28012D0B,9007F816,00000020,0000002A
43,51345200,000201CF,000003D5,FFFD0000,FF90FFFB,000C464F,3C33082D,28012D0B,9007F816,00000020,0000002B
44,49395600,000001B3,000003D5,FFFF0000,FF90FFFB,000D464F,3C348798,28012D0B,9007F816,00000020,0000002C
45,51941100,000101D4,000003D4,00000000,FF90FFFB,000D464F,3C3609C6,28012D0B,9007F816,00000020,0000002D
46,52223200,000101BE,000003D5,00000000,FF90FFFB,000E464F,3C378996,28012D0B,9007F816,00000020,0000002E
47,51997200,000101DF,000003D5,00000000,FF90FFFB,000E464F,3C3909B3,28012D0B,9007F816,00000020,0000002F
48,48333700,000101CC,FFFE03D5,00000000,FF90FFFB,000E464F,3C3A8840,28012D0B,9007F816,00000020,00000030
49,53477400,FFF701F6,0000040F,0000FFD0,FF980000,000F464E,3C3C0A0A,28012D0B,A007F816,00000020,00000031
