sample_seq,host_gap_ns,reg0,reg1,reg2,reg3,reg4,reg5,reg6,reg7,reg8,reg9
1,0,00000000,000003D5,00000000,00000000,0000002B,3C004E20,2BFCE494,4007F816,00000001,00000001
2,134392000,07FFF800,0000F800,00000000,00000000,0000002B,3C004E20,2BF8E494,4007F816,00000001,00000002
3,74965900,00000000,00000001,00000000,00000000,0000002B,3C004E20,2BF4E494,4007F816,00000001,00000003
4,65121600,00000000,00000001,00000000,00000000,0000002B,3C004E20,2BF0E494,4007F816,00000001,00000004
5,61604500,00000000,00000001,00000000,00000000,0000002B,3C004E20,2BF0E494,5007F816,00000001,00000005
6,59747700,0000000E,000002C8,00000001,00000000,00FF002B,3C004E20,2BF0E494,5007F816,00000001,00000006
7,59172100,FFFC0101,000007FF,00070000,00000000,0000002B,3C004E20,2BF8E494,5007F816,00000001,00000007
8,58365600,000101D7,000007FF,0012FFFE,00010000,0000002D,3C004E20,2BFCE494,4007F816,00000021,00000008
9,88894400,0001016D,0000076C,FFF3FFFF,00010000,0000002D,3C004E20,2800E494,4007F816,00000021,00000009
10,58281000,FFF301A5,000005A3,001DFFFF,00020000,00010030,3C004E20,2800E494,4007F816,00000021,0000000A
11,139309700,001201A2,00000484,FFFEFFFF,00020000,0001002F,3C004E20,2800E494,4007F816,00000021,0000000B
12,90702800,FFFB01CC,000003DF,0005FFFF,00020000,0002002F,3C004E20,2800E494,4007F816,00000021,0000000C
13,90337000,000401A2,0000038D,00040000,00020000,0002002E,3C004E20,2800E494,4007F816,00000021,0000000D
14,60390900,FFFE01B0,0000036F,FFFC0000,00020000,0002002F,3C004E20,2800E494,4007F816,00000021,0000000E
15,55403500,FFFD0191,0000036E,00070000,00020000,00020030,3C004E20,2800E494,5007F816,00000021,0000000F
16,72371500,0004018E,0000037C,00010000,00020000,00030031,3C004E20,2800E494,5007F816,00000021,00000010
17,76065600,00000165,0000038F,00010000,00020000,00030031,3C004E20,2800E494,5007F816,00000021,00000011
18,64994800,00010186,000003A2,00000000,00020000,00030031,3C004E20,2800E494,5007F816,00000021,00000012
19,114268000,00030181,000003B2,00000000,00020000,00040031,3C004E20,2800E494,5007F816,00000021,00000013
20,105086300,FFFD0190,000003BF,00000000,00020000,00040031,3C004E20,2800E494,5007F816,00000021,00000014
21,97152700,00030189,000003C8,00000000,00020000,00040031,3C004E20,2800E494,5007F816,00000021,00000015
22,78569500,FFFF0191,000003CF,00000000,00020000,00050031,3C004E20,2800E494,5007F816,00000021,00000016
23,73408700,FFFF018C,000003D3,00000000,00020000,00050031,3C004E20,2BFCE494,5007F816,00000021,00000017
