sample_seq,host_gap_ns,reg0,reg1,reg2,reg3,reg4,reg5,reg6,reg7,reg8,reg9
1,0,00000000,000003D5,00000000,00000000,0000B9D1,3D0002A9,2BFCE494,4002E816,00000008,00000001
2,22131800,F80007FF,0000F800,00000000,00000000,0000B9D1,3C010201,2BF8E494,4002E816,00000000,00000002
3,62103600,00000000,00000001,00000000,00000000,0000B9D1,3C018214,2BF4E494,4002E816,00000000,00000003
4,67368200,00000000,00000001,00000000,00000000,0000B9D1,3C0281CF,2BF0E494,4002E816,00000000,00000004
5,56610300,00000045,00000095,0000FFFE,00000000,0000B9D1,3C0301BC,2BF0E494,5002E816,00000000,00000005
6,53247000,FFFF0042,000007FF,0000FFFF,00000000,0000B9D1,3C0201A9,2BF8E494,5002E816,00000000,00000006
7,137779200,000100EE,000007FF,FFFFFFFF,00000000,0000B9D1,3C02017C,2BFCE494,4002E816,00000020,00000007
8,15507200,000A018D,0000078A,FFE4FFFE,00010000,0000B9CD,3C02818C,2BFCE494,4002E816,00000020,00000008
9,49290400,FFF90194,000005D5,FFF3FFFF,00010000,0001B9CC,3C03017D,2800E494,4002E816,00000020,00000009
10,49991300,000001C5,000004B7,FFF5FFFF,00020000,0001B9CB,3C0481BF,2800E494,4002E816,00000020,0000000A
11,50348300,FFFA0187,0000040D,0005FFFF,00020000,0001B9CB,3C05819D,2800E494,4002E816,00000020,0000000B
12,50867000,000401D0,000003B1,0007FFFF,00020000,0002B9CA,3C07019B,2800E494,4002E816,00000020,0000000C
13,51301700,00000169,0000038A,FFF60000,00020000,0002B9C9,3C08018E,2800E494,4002E816,00000020,0000000D
14,51757600,000101B5,00000380,FFFC0000,00020000,0002B9C7,3C0981D9,2800E494,4002E816,00000020,0000000E
15,48661200,FFFB0158,00000388,FFFF0000,00020000,0002B9C7,3C0A81B0,2800E494,5002E816,00000020,0000000F
16,49885500,0001017C,00000396,00000000,00020000,0003B9C7,3C0C0197,2800E494,5002E816,00000020,00000010
17,50365900,FFFE017D,000003A6,00000000,00020000,0003B9C7,3C0D01C8,2800E494,5002E816,00000020,00000011
18,50672000,0001018E,000003B4,00000000,00020000,0003B9C7,3C0E01CB,2800E494,5002E816,00000020,00000012
19,50211500,FFFE0187,000003BF,00000000,00020000,0004B9C7,3C0F819E,2800E494,5002E816,00000020,00000013
20,51426700,00010194,000003C8,00000000,00020000,0004B9C7,3C108197,2800E494,5002E816,00000020,00000014
21,50423100,FFFF018B,000003CE,00000000,00020000,0004B9C7,3C1201A9,2800E494,5002E816,00000020,00000015
22,50937900,00000194,000003D2,00000000,00020000,0005B9C7,3C13019E,2800E494,5002E816,00000020,00000016
23,48582600,0001018B,000003D4,00000000,00020000,0005B9C7,3C1481A2,2800E494,5002E816,00000020,00000017
24,51008100,FFFE0194,000003D5,00000000,00020000,0005B9C7,3C1581B2,2800E494,6002E816,00000020,00000018
25,58726100,0002018E,000003D6,00000000,00020000,0006B9C7,3C1701D9,2800E494,6002E816,00000020,00000019
26,181066600,FFFF0196,000003D6,00000000,00020000,0006B9C7,3C1801B0,2800E494,6002E816,00000020,0000001A
27,14385000,FFFF0195,000003D6,00000000,00020000,0006B9C7,3C190183,2800E494,6002E816,00000020,0000001B
28,53092300,0001019F,000003D6,00000000,00020000,0007B9C7,3C1A81EF,2800E494,6002E816,00000020,0000001C
29,50000400,FFFE01A7,000003D5,00000000,00020000,0007B9C7,3C1B819C,2800E494,6002E816,00000020,0000001D
30,49213100,000201B7,000003D5,00000000,00020000,0007B9C7,3C1D01B2,28012649,6002E816,00000020,0000001E
31,51080500,FFFE01C4,000003DB,00000000,00030000,0008B9C7,3C1E81A6,28012649,6002E816,00000020,0000001F
32,62187900,000201A9,000003D5,00000000,00030000,0008B9C7,3C2001F6,28012649,7002E816,00000020,00000020
33,65599200,00000073,000003D3,00000001,00020000,0008B9C7,3C20021F,28012649,7002E816,00000020,00000021
34,155946400,FFFF0121,000003D3,00000000,00020000,0008B9C7,3C2101D2,28012649,7002E816,00000020,00000022
35,16025600,0000022C,000003D3,0000FFFF,00020000,0009B9C7,3C22818C,28012649,B002E816,00000020,00000023
36,50846100,FFFF02B4,000003D4,0000FFFF,00030000,0009B9C7,3C2501E1,28012649,9002E816,00000020,00000024
37,47403600,00010236,000003D5,00000000,00030000,000AB9C7,3C2681AB,28012649,9002E816,00000020,00000025
38,51411400,FFFE0230,000003D5,0000FFFF,00030000,000AB9C7,3C2801B9,28012649,9002E816,00000020,00000026
39,50321800,000201E3,000003D5,00000000,00030000,000AB9C7,3C298186,28012649,9002E816,00000020,00000027
40,50323100,FFFD01F2,000003D5,00010000,00030000,000BB9C7,3C2B0195,28012649,9002E816,00000020,00000028
41,50244600,000201C3,000003D5,00010000,00030000,000BB9C7,3C2C81BF,28012649,9002E816,00000020,00000029
42,53222000,000001DD,000003D5,FFFE0000,00030000,000CB9C7,3C2E018C,28012649,9002E816,00000020,0000002A
43,49473700,000001B8,000003D5,FFFF0000,00030000,000CB9C7,3C2F0198,28012649,9002E816,00000020,0000002B
44,52781700,FFFE01D7,000003D5,00010000,00030000,000CB9C7,3C308183,28012649,9002E816,00000020,0000002C
45,48473600,000201B9,000003D5,00000000,00030000,000DB9C7,3C3201B5,28012649,9002E816,00000020,0000002D
46,50795400,FFFF01CC,000003D5,00000000,00030000,000DB9C7,3C3301AE,28012649,9002E816,00000020,0000002E
47,48945800,00020157,000003D5,00000001,00030000,000DB9C7,3C3481AB,28012649,9002E816,00000020,0000002F
48,49701600,000000CC,000003D5,00000001,00020000,000DB9C7,3C350186,28012649,9002E816,00000020,00000030
49,51406400,00000029,000003D6,00000002,00020000,000DB9C7,3C35019F,28012649,9002E816,00000020,00000031
50,50486100,0000FFF1,000003D5,00000002,00010000,000DB9C7,3C3501AC,28012649,9002E816,00000020,00000032
51,152540900,0001FFA5,000003D5,00000002,00010000,000DB9C7,3C35019D,28012649,9002E816,00000020,00000033
52,14940400,0000FFA3,000003D5,00000001,00000000,000DB9C7,3C34819C,28012649,9002E816,00000020,00000034
53,51102000,FFFEFF75,000003D5,00000001,00000000,000DB9C7,3C3401B5,28012649,9002E816,00000020,00000035
54,51407400,FFFFFF85,000003D5,00000001,00000000,000DB9C7,3C3381A9,28012649,9002E816,00000020,00000036
55,49619900,0000FF63,000003D5,00000001,00000000,000DB9C7,3C3381DD,28012649,9002E816,00000020,00000037
56,50228200,0001FF7A,000003D5,00000000,FFFF0000,000DB9C7,3C33821D,28012649,9002E816,00000020,00000038
57,52324000,0001FF5E,000003D5,00000001,FFFF0000,000CB9C7,3C328254,28012649,9002E816,00000020,00000039
