sample_seq,host_gap_ns,reg0,reg1,reg2,reg3,reg4,reg5,reg6,reg7,reg8,reg9
1,0,00030000,000203D7,00010004,00000000,00002312,3E004E20,2BFCE4B9,4007F8DD,00000001,00000001
2,50419200,F9F2060E,0004F9F2,FFFF0003,00000000,00002312,3C004E20,2BF8E49F,4007F8DD,00000001,00000002
3,42195800,00020003,00040000,FFFD0000,00000000,00002312,3A004E20,2BF4E482,4007F8DD,00000001,00000003
4,25627600,00010003,0004FFFF,FFFCFFFE,00000000,00002312,3A004E20,2BF0E465,4007F8DC,00000001,00000004
5,50114200,FFFF0049,000205F1,FFFCFFFD,00000000,00FF2312,3A004E20,2BF8E44E,5007F8DB,00000001,00000005
6,50460800,FFFE002F,0000060E,FFFCFFFB,00000000,00002312,3C004E20,2BFCE440,4007F8DB,00000001,00000006
7,53049500,00060135,FFFE060E,FFECFFFC,00000000,0000230F,3E004E20,2BFCE43D,4007F8DC,00000021,00000007
8,51764100,FFF60170,FFFD05EA,FFF3FFFF,00010000,0000230F,3E004E20,2800E447,4007F8DC,00000021,00000008
9,49699300,FFFA01B7,FFFD04DF,00090001,00010000,00012311,3C004E20,2800E45A,4007F8DD,00000021,00000009
10,50224000,0003019F,FFFF0438,FFF70002,00020000,00012312,3A004E20,2800E475,4007F8DD,00000021,0000000A
11,49511900,00050189,000103D9,00130001,00020000,00012313,3A004E20,2800E494,4007F8DC,00000021,0000000B
12,51674600,0003019E,000203AA,0004FFFF,00020000,00022313,3A004E20,2800E4B0,4007F8DB,00000021,0000000C
13,49238100,000001AF,00030399,0000FFFD,00020000,00022313,3C004E20,2800E4C7,4007F8DB,00000021,0000000D
14,49445900,FFFD0183,00030398,0002FFFC,00020000,00022315,3E004E20,2800E4D4,4007F8DB,00000021,0000000E
15,49959500,00000179,0001039F,0000FFFD,00020000,00022315,3E004E20,2800E4D6,4007F8DC,00000021,0000000F
16,50505700,FFFC0169,FFFF03AA,FFFE0000,00020000,00032315,3E004E20,2800E4CD,5007F8DD,00000021,00000010
17,50165400,FFFD0184,FFFD03B4,FFFD0002,00020000,00032315,3C004E20,2800E4BB,5007F8DD,00000021,00000011
18,49705100,FFFF0180,FFFC03BE,FFFD0004,00020000,00032315,3A004E20,2800E4A2,5007F8DD,00000021,00000012
19,50874000,00010190,FFFC03C6,FFFE0004,00020000,00042315,3A004E20,2800E488,5007F8DC,00000021,00000013
20,50417000,00030188,FFFD03CD,00000002,00020000,00042315,3C004E20,2800E471,5007F8DB,00000020,00000014
21,51952000,00030191,FFFF03D3,00010000,00020000,00042315,3E004E20,2800E462,5007F8DB,00000020,00000015
22,51631700,0003018C,000103D6,0003FFFE,00020000,00052315,3E004E20,2800E45C,5007F8DC,00000020,00000016
23,49493300,00010194,000303D8,0004FFFD,00020000,00052315,3C004E20,2800E462,5007F8DD,00000020,00000017
24,50712900,FFFF018E,000303D9,0004FFFE,00020000,00052315,3A004E20,2800E472,6007F8DD,00000020,00000018
25,51228300,FFFE0197,000303D8,00040000,00020000,00062315,3A004E20,2800E48A,6007F8DD,00000020,00000019
26,50451000,FFFE0193,000103D7,00020003,00020000,00062315,3A004E20,2800E4A6,6007F8DC,00000020,0000001A
27,50846000,FFFF0199,FFFF03D5,00000003,00020000,00062315,3C004E20,2800E4C2,6007F8DB,00000020,0000001B
28,49152800,0001019C,FFFE03D4,FFFE0002,00020000,00072315,3E004E20,2800E4D9,6007F8DB,00000020,0000001C
29,52744800,000201A6,FFFD03D3,FFFD0000,00020000,00072315,3E004E20,2800E4E7,6007F8DB,00000020,0000001D
30,51704600,000301B3,FFFE03D2,FFFCFFFD,00020000,00072315,3C004E20,28012470,6007F8DC,00000020,0000001E
31,50948300,000301C8,FFFF03D8,FFFCFFFB,00030000,00082315,3A004E20,28012464,6007F8DD,00000020,0000001F
32,49253000,000101A4,000203D4,FFFDFFFC,00030000,00082315,3A004E20,2801244B,7007F8DD,00000020,00000020
33,50180800,FFFF0079,000303D3,FFFFFFFF,00020000,00082315,3C004E20,28012428,7007F8DC,00000020,00000021
34,49924900,FFFE0121,000403D4,00000000,00020000,00082315,3E004E20,28012401,7007F8DB,00000020,00000022
35,50920900,FFFD0233,000403D5,00020001,00020000,00092315,3E004E20,280123DB,B007F8DB,00000020,00000023
36,75182000,FFFD02B7,000303D6,00030002,00030000,00092315,3E004E20,280123BD,9007F8DB,00000020,00000024
37,27375400,FFFE0239,000003D6,00030002,00030000,000A2315,3C004E20,280123AB,9007F8DC,00000020,00000025
38,49562500,0000022E,FFFE03D5,0001FFFF,00030000,000A2315,3A004E20,280123A7,9007F8DD,00000020,00000026
39,49996200,000201E3,FFFD03D4,0000FFFE,00030000,000A2315,3A004E20,280123B2,9007F8DD,00000020,00000027
40,49957700,000201EF,FFFC03D2,0000FFFD,00030000,000B2315,3A004E20,280123C9,9007F8DD,00000020,00000028
41,99178000,000101C1,FFFD03D2,FFFEFFFE,00030000,000B2315,3C004E20,280123E8,9007F8DC,00000020,00000029
42,11554200,000101DA,FFFF03D2,FFFA0000,00030000,000C2315,3E004E20,2801240A,9007F8DB,00000020,0000002A
43,51441200,FFFE01B9,000103D3,FFFB0003,00030000,000C2315,3C004E20,28012428,9007F8DB,00000020,0000002B
44,50761300,FFFD01D8,000203D4,FFFE0004,00030000,000C2315,3C004E20,2801243E,9007F8DC,00000020,0000002C
45,49198300,FFFE01BA,000303D6,FFFF0004,00030000,000D2315,3A004E20,28012447,9007F8DD,00000020,0000002D
46,51598100,FFFF01DC,000203D7,00000002,00030000,000D2315,3A004E20,28012442,9007F8DD,00000020,0000002E
47,50646500,000001C3,000003D8,00020000,00030000,000D2315,3C004E20,28012430,9007F8DD,00000020,0000002F
48,49951200,000201E0,FFFE03D7,0004FFFD,00030000,000E2315,3E004E20,28012413,9007F8DC,00000020,00000030
49,52184700,000301CC,FFFC03D7,0004FFFD,00030000,000E2315,3E004E20,280123F0,9007F8DB,00000020,00000031
50,50332400,000301E9,FFFC03D5,0004FFFD,00030000,000E2315,3E004E20,280123CD,9007F8DB,00000020,00000032
51,49741800,000201D6,FFFC03D4,00030000,00030000,000F2315,3C004E20,280123B0,A007F8DB,00000020,00000033
52,50141500,000001F9,FFFE03D3,00010002,00030000,000F2315,3A004E20,2BFD239F,A007F8DC,00000020,00000034
53,50626600,FFFF01E9,000003D3,FFFF0003,00030000,00102315,3A004E20,2BFD239B,A007F8DD,00000020,00000035
54,50291700,FFFE0210,000203D3,FFFE0002,00030000,00102315,3C004E20,2BFD23A6,A007F8DD,00000020,00000036
55,51952600,FFFE01FE,000403D4,FFFD0000,00030000,00102315,3E004E20,2BFD23BF,A007F8DC,00000020,00000037
56,50304400,FFFF0216,000403D6,FFFDFFFD,00030000,00112315,3E004E20,2BFD23E2,A007F8DC,00000020,00000038
57,49469900,00010206,000303D7,FFFEFFFC,00030000,00112315,3E004E20,2BFD240A,A007F8DB,00000020,00000039
58,50640500,00020216,000103D8,0000FFFC,00030000,00122315,3C004E20,2BFD2430,A007F8DB,00000020,0000003A
59,50360900,0003020A,FFFF03D8,0002FFFE,00030000,00122315,3A004E20,2BFD244F,A007F8DC,00000020,0000003B
60,49950600,00020214,FFFE03D7,00030000,00030000,00122315,3A004E20,2BFD36EE,A007F8DD,00000020,0000003C
61,50370800,0000020C,FFFD03D6,00040003,00030000,00132315,3C004E20,2BFD36F3,A007F8DD,00000020,0000003D
62,51439100,FFFE0210,FFFE03D4,00030004,00030000,00132315,3E004E20,2BFD36E8,A007F8DD,00000020,0000003E
63,50683700,FFFD020F,000003D3,00020003,00030000,00142315,3E004E20,2BFD36D0,A007F8DC,00000020,0000003F
64,49974300,FFFD0214,000203D2,00010001,00030000,00142315,3C004E20,2BFD36AE,A007F8DB,00000020,00000040
65,50347300,FFFE0219,000403D2,FFFFFFFE,00030000,00152315,3A004E20,2BFD368A,A007F8DB,00000020,00000041
66,50465600,FFFF021C,000403D2,FFFDFFFD,00030000,00152315,3A004E20,2BFD3668,A007F8DB,00000020,00000042
67,51290900,0001021E,000303D3,FFFCFFFE,00030000,00152315,3A004E20,2BFD364F,A007F8DC,00000020,00000043
68,49425200,00020220,000103D5,FFFC0000,00030000,00162315,3C004E20,2BFD3642,A007F8DD,00000020,00000044
69,53749600,0002021F,FFFF03D6,FFFC0002,00030000,00162315,3E004E20,2BFD3645,B007F8DD,00000020,00000045
70,49981000,0001021F,FFFD03D7,FFFE0004,00030000,00172315,3E004E20,2BFD3657,B007F8DC,00000020,00000046
71,50137100,0000021C,FFFC03D7,FFFF0004,00030000,00172315,3E004E20,2BFD3674,B007F8DB,00000020,00000047
72,50822300,FFFE021C,FFFC03D6,00010002,00030000,00182315,3C004E20,2BFD3697,B007F8DB,00000020,00000048
