sample_seq,host_gap_ns,reg0,reg1,reg2,reg3,reg4,reg5,reg6,reg7,reg8,reg9
1,0,00000003,000003D5,00000000,00140000,0000B9C7,3C004E20,2BFCE494,4007F816,00000001,00000001
2,123829300,07FF07FF,0000F800,00000000,00140000,0000B9C7,3C004E20,2BF8E494,4007F816,00000001,00000002
3,135964800,00000000,00000001,00000000,00140000,00FFB9C7,3C004E20,2BF4E494,4007F816,00000001,00000003
4,112557600,00000000,00000001,00000000,00140000,00FFB9C7,3C004E20,2BF0E494,4007F816,00000001,00000004
5,125989800,FFFF003C,001200B9,001FFF45,0026FFFE,00FFB9C9,3C004E20,2BF0E494,5007F816,00000001,00000005
6,98811900,00040095,000607FF,0001FFA7,0049FFFB,0000B9C9,3C004E20,2BF8E494,5007F816,00000001,00000006
7,105543900,00010011,000107FF,0001FFDC,0059FFFB,0000B9C9,3C004E20,2BFCE494,4007F816,00000001,00000007
8,121659900,FFFF01FC,0000078B,0016FFF5,005FFFFA,0000B9CA,3C004E20,2BFCE494,4007F816,00000021,00000008
9,98998200,000501A6,000005D3,00050001,005FFFFB,0000B9C8,3C004E20,2800E494,4007F816,00000021,00000009
10,101332100,FFF401DE,000004B4,000B0006,005EFFFB,0001B9CB,3C004E20,2800E494,4007F816,00000021,0000000A
11,114547300,000A01A1,0000040B,FFFC0008,005CFFFB,0001B9CB,3C004E20,2800E494,4007F816,00000021,0000000B
12,135753100,FFFD01A7,000003B0,00090006,005AFFFB,0001B9CD,3C004E20,2800E494,4007F816,00000021,0000000C
13,107969200,000B018A,00000389,FFFA0005,0058FFFB,0002B9CC,3C004E20,2800E494,4007F816,00000021,0000000D
14,120177300,FFFF01BD,00000381,00090004,0057FFFB,0002B9CB,3C004E20,2800E494,4007F816,00000021,0000000E
15,135892100,00000176,00000388,00030003,0056FFFB,0002B9CA,3C004E20,2800E494,4007F816,00000021,0000000F
16,123378100,000001AE,00000396,FFF80002,0056FFFB,0003B9C9,3C004E20,2800E494,5007F816,00000021,00000010
17,123526700,FFFC017D,000003A6,00090001,0055FFFB,0003B9CA,3C004E20,2800E494,5007F816,00000021,00000011
18,151646000,00040191,000003B4,FFFF0001,0055FFFB,0003B9CB,3C004E20,2800E494,5007F816,00000021,00000012
19,159916500,0000017E,000003C0,00080001,0055FFFB,0004B9CD,3C004E20,2800E494,5007F816,00000021,00000013
20,113259100,0004019A,000003C8,FFFD0000,0055FFFB,0004B9CD,3C004E20,2800E494,5007F816,00000021,00000014
21,124785500,00000185,000003CE,00050000,0055FFFB,0004B9CE,3C004E20,2800E494,5007F816,00000021,00000015
22,175857100,0003019C,000003D2,FFFD0000,0055FFFB,0004B9CD,3C004E20,2800E494,5007F816,00000021,00000016
23,121591300,0000018C,000003D4,00010000,0055FFFB,0005B9CE,3C004E20,2800E494,5007F816,00000021,00000017
24,134575500,0001018D,000003D5,00000000,0055FFFB,0005B9CE,3C004E20,2800E494,5007F816,00000021,00000018
25,142504200,000107FF,000003EC,00000006,0053FFFB,0013B9CE,3C004E20,2800E494,6007F816,00000020,00000019
26,153780700,0000FDF9,000005F0,00000002,0052FFFB,0013B9CE,3C004E20,1C00E494,B005D816,00000020,0000001A
27,156306900,000100A6,000005FA,00000000,0052FFFB,0014B9CE,3C004E20,1C00E494,A005D816,00000020,0000001B
28,140671600,00010047,00000604,00000000,0052FFFB,0013B9CE,3C004E20,1C00E494,A005D816,00000020,0000001C
29,157376700,0001FFD5,000005FA,00000000,0052FFFB,0013B9CE,3C004E20,1C00E494,A005D816,00000020,0000001D
30,151303800,0001FF5C,000005F0,00000001,0052FFFB,0013B9CE,3C004E20,1C014048,A005D816,00000020,0000001E
31,142302600,0001FF22,000005E6,00000001,0052FFFB,0013B9CE,3C004E20,1C014048,A005D816,00000020,0000001F
32,155536200,FFFEFEEF,FFFC05DC,00000015,0050FFFC,0013B9CD,3C004E20,1FFD4048,A005D816,00000020,00000020
